timeDays,tank1Ammonia,tank2Ammonia,tank3Ammonia,tank4Ammonia,tank5Ammonia,tank1ExhaustO2,tank2ExhaustO2,tank3ExhaustO2,tank4ExhaustO2,tank5ExhaustO2,,,,,,,,,,,,,,,,,,,
1.2083333,4.888433898,1.837829422,0.716419735,0.002740519,0.002368914,15.72311869,17.24175191,17.76691145,18.85490261,18.09205326,,,,,,,,,,,,,,,,,,,
1.21875,4.859992692,1.760746449,0.665385659,0.002670419,0.002376586,15.7190291,17.28692079,17.79613352,18.86321757,18.09344554,,,,,,,,,,,,,,,,,,,
1.229166667,4.829428588,1.704815741,0.626151028,0.002641939,0.002386329,15.73018134,17.3140135,17.81585188,18.86002939,18.09628414,,,,,,,,,,,,,,,,,,,
1.239583333,4.806140141,1.66468989,0.596776981,0.002626901,0.002399976,15.73569914,17.33146525,17.82972268,18.8614055,18.10327528,,,,,,,,,,,,,,,,,,,
1.25,4.788765403,1.636066953,0.575307848,0.002623698,0.002417938,15.7404528,17.34412047,17.84048205,18.86008478,18.11382504,,,,,,,,,,,,,,,,,,,
1.260416667,4.899401894,1.603566303,0.552665782,0.00261846,0.002440517,15.68367034,17.35978877,17.85221571,18.86225613,18.12705587,,,,,,,,,,,,,,,,,,,
1.270833333,4.982021583,1.592961495,0.537121338,0.002626376,0.002468597,15.63722359,17.36437783,17.86054616,18.86125487,18.14075641,,,,,,,,,,,,,,,,,,,
1.28125,5.041706785,1.594121077,0.527834817,0.002642089,0.002504,15.60452443,17.36343233,17.86614166,18.86190843,18.15334839,,,,,,,,,,,,,,,,,,,
1.291666667,5.084858373,1.600988573,0.523390329,0.002665494,0.002548684,15.58245122,17.3596858,17.86899639,18.86101997,18.16415108,,,,,,,,,,,,,,,,,,,
1.302083333,5.439981282,1.685929978,0.542709553,0.002723048,0.002604576,15.40853415,17.32127663,17.86276588,18.85696445,18.17188997,,,,,,,,,,,,,,,,,,,
1.3125,5.711862745,1.783318549,0.567058674,0.002782042,0.002675968,15.26631266,17.27294656,17.85300605,18.85814865,18.17797607,,,,,,,,,,,,,,,,,,,
1.322916667,5.908720433,1.877592307,0.594882598,0.00285139,0.002765591,15.16655677,17.22620745,17.84151644,18.85610455,18.18296846,,,,,,,,,,,,,,,,,,,
1.3333333,6.05154395,1.96198161,0.624024385,0.00293135,0.002879858,15.09789312,17.18528664,17.82954732,18.85675913,18.18745193,,,,,,,,,,,,,,,,,,,
1.34375,6.840044077,2.32444335,0.749201955,0.003249991,0.003012974,14.71930426,17.01744021,17.77727862,18.83777388,18.18605207,,,,,,,,,,,,,,,,,,,
1.354166667,7.422547911,2.678917062,0.887161432,0.003610614,0.003185958,14.42123062,16.83766667,17.71422282,18.84418391,18.18460651,,,,,,,,,,,,,,,,,,,
1.364583333,7.826115115,2.990984031,1.028679503,0.004164148,0.003407456,14.22892617,16.68045125,17.6488347,18.83898373,18.18549211,,,,,,,,,,,,,,,,,,,
1.375,8.106200473,3.251549754,1.165078998,0.005104848,0.003703362,14.10493236,16.55091586,17.58565595,18.84125456,18.18820549,,,,,,,,,,,,,,,,,,,
1.385416667,9.505160732,4.209510399,1.633605916,0.047957153,0.004328491,13.49390329,16.10397845,17.38161616,18.79694692,18.16120778,,,,,,,,,,,,,,,,,,,
1.395833333,10.4433457,5.090476936,2.145732332,0.187037272,0.006111752,13.07449187,15.65893375,17.14063505,18.80433854,18.10968751,,,,,,,,,,,,,,,,,,,
1.40625,11.02786486,5.807582915,2.649838256,0.312856811,0.012004052,12.84887654,15.3065174,16.90449109,18.73152921,18.05638248,,,,,,,,,,,,,,,,,,,
1.416666667,11.39377721,6.359249374,3.108554475,0.434603721,0.036200436,12.72680633,15.04581834,16.69267678,18.7027481,18.00644255,,,,,,,,,,,,,,,,,,,
1.427083333,12.69933072,7.728187196,4.158519774,0.981346668,0.153814663,12.33702557,14.47911809,16.25702028,18.51953642,17.94099309,,,,,,,,,,,,,,,,,,,
1.4375,13.49434165,8.848118303,5.164277819,1.537058897,0.289079342,12.11256877,14.0318558,15.84474966,18.41573983,17.80713915,,,,,,,,,,,,,,,,,,,
1.447916667,13.9423533,9.659810088,6.041379508,2.13410549,0.468877082,12.01088788,13.75734274,15.52627898,18.33435353,17.64982705,,,,,,,,,,,,,,,,,,,
1.4583333,14.20665405,10.22147827,6.75571515,2.73012563,0.700737583,11.96131772,13.5972333,15.30363688,18.27734148,17.51050493,,,,,,,,,,,,,,,,,,,
